PMID	Title	Abstract	Author	Affiliation	Journal	Date
8097678	Facial injuries in basketball players.	"As the popularity of basketball increases and the style of the game becomes more physical, there is an increasing number of basketball-related injuries. Although
most facial injuries sustained while playing basketball are relatively minor, severe
and permanent injuries do occur. This article reviews the most common facial
injuries incurred by basketball players with emphasis on diagnosis, early treatment,
and prevention.
"	Guyette RF	UCLA Department of Oral  Maxillofacial Surgery.	Clinics in sports medicine	4/1/93 0:00
30499758	Reliability, usefulness and construct validity of the Combined Basketball Skill Test	"This study aimed to assess the reliability, usefulness and construct validity of the newly developed Combined Basketball Skill Test (CBST). Fifteen recreational (age =
22.8 ± 4.2 y, stature = 184.8 ± 6.5 cm, body mass = 81.6 ± 9.6 kg, training
experience = 9.8 ± 5.3 y) and fifteen semiprofessional (age = 18.9 ± 3.3 y, stature
= 190.5 ± 8.1 cm, body mass = 84.2 ± 11.2 kg, training experience = 11.1 ± 3.5 y)
players volunteered to participate in this study. Test-retest reliability and
usefulness were examined for recreational players, while construct validity was
evaluated comparing the two player groups. The CBST is composed of 12 trials and its
outcome measures include: completion time (sum of the 12 trial times); penalty time
(sum of the times from the 12 trials); performance time (completion time + penalty
time) and total number of errors. Relative reliability analysis showed acceptable
ICC values (i.e. ≥0.70) in all the studied variables. Absolute reliability analysis
showed a CV < 5% for completion (1.6%) and performance (2.0%) time, while a CV >5%
is reported for the remaining variables. The usefulness of the test was considered
""Marginal"" and ""Good"" when comparing TE values with SWC(02) and SWC(05),
respectively for all the studied variables. Likely and very likely differences were
shown between recreational and semiprofessional players in all investigated
variables. Results showed that the CBST is reliable, useful to detect moderate
changes and valid to assess basketball skills.
"	Conte D|Smith MR|Santolamazza F|Favero TG|Tessitore A|Coutts A	University of Technology Sydney	Journal of sports sciences	12/1/18 6:00
31326742	Processing head fakes in basketball: Are there ironic effects of instructions on the	"Instructions in sports are used to improve athletes' performance. However, instructions can also impair performance if they direct athletes' attention to a
to-be-avoided behavior which paradoxically provokes exactly that behavior (ironic
effect). The present study investigates the impact of different instructions on the
head-fake effect in basketball. Specifically, we asked here if deliberate attempts
to ignore the deceptive cues gaze direction and head orientation increase the impact
of that information and thus, paradoxically increase the head-fake effect. We found
that the detrimental impact of spatially incongruent gaze direction and head
orientation was essentially independent of whether participants were, or were not,
instructed to deliberately ignore the task-irrelevant information. Hence, deceptive
actions exert their impact independent of the perceivers' attempts to ignore
deceptive cues. We thus conclude that the deceptive cues gaze direction and head
orientation are per se hyper-accessible or over-salient and its processing cannot be
controlled with any amount of mental capacity (and even not with the non-ironic
instruction). However, as both ignore instructions produce general processing costs
(i.e., slower reactions) coaches should solely instruct athletes' to focus attention
on the processing of the pass direction.
"	Güldenpenning I|Weigelt M|Kunde W	Würzburg University	Human movement science	7/22/19 6:00
16060339	Are mouthguards necessary for basketball?	"This literature review evaluates the significance of dental injuries and their relationship to a specific sport--basketball. Many studies have been published on
individual sports or groups of sports, but most pertain to specific age groups or
levels of competition. Research suggests that many sports that do not require
mouthguards should encourage male and female participants to use orofacial
protectors. Athletes, coaches, athletic directors, athletic trainers, parents, and
members of the dental community should be aware of how individuals who participate
in sporting activities are at risk for dental trauma. Any sport where the potential
for dental trauma can exist, such as basketball, soccer, or wrestling, should
consider utilizing mouthguards to protect the competitors. The establishment of
mouthguard programs for athletes of all ages and genders who participate in
basketball may help to reduce the incidence of dental trauma.
"	Kumamoto D|Maeda Y	University of Illinois at Chicago	Journal of the California Dental Association	8/3/05 9:00
28759533	Physiological Responses to and Athlete and Coach Perceptions of Exertion During	"Vaquera, A, Suárez-Iglesias, D, Guiu, X, Barroso, R, Thomas, G, and Renfree, A. Physiological responses to and athlete and coach perceptions of exertion during
small-sided basketball games. J Strength Cond Res 32(10): 2949-2953, 2018-This study
describes heart rate (HR) responses during different small-sided games (SSGs) in
junior basketball players and identifies the level of agreement between athlete and
coach perceptions of internal training load calculated using the in-task rating of
perceived exertion (RPE) method. Over a 6-week period, 12 male junior basketball
players, who played in the Spanish national under-18 League, played 7 games of
one-a-side (1v1), 6 games of 2-a-side (2v2), 8 games of 5-a-side (5v5), and 5 games
of superiority (3v2) situations. During 1v1, 2v2, 5v5, and 3v2, peak HRs were 90.27
± 3.37%, 92.68 ± 3.29%, 92.01 ± 3.48%, and 88.74 ± 5.77% of HRmax, respectively.
These differences were statistically significant between 1v1 and 2v2 (p < 0.01), 1v1
and 5v5 (p ≤ 0.05), 2v2 and 3v2 (p < 0.001), and 5v5 and 3v2 (p < 0.001). Mean HR
was 79.5 ± 4.4%, 83.1 ± 4.2%, 91.2 ± 4.7%, and 78.5 ± 7.5% of HRmax during 1v1, 2v2,
5v5, and 3v2, respectively, and differences were observed between 1v1 and 2v2 (p <
0.001), 2v2 and 3v2 (p < 0.001), and 5v5 and 3v2 (p ≤ 0.05). There were differences
in athletes and coaches in-task RPE in all SSGs (all p < 0.0001 apart from 5 × 5 p =
0.0019). The 2v2 format elicited a higher mean in-task RPE in comparison with all
other SSGs (p < 0.001), possibly because 2v2 imposes a greater cognitive load.
"	Vaquera A|Suárez-Iglesias D|Guiu X|Barroso R|Thomas G|Renfree A	University of Worcester	Journal of strength and conditioning research	8/2/17 6:00
29736550	Sensitivity to change of the field-based Wheelchair Mobility Performance Test in	"OBJECTIVE: The Wheelchair Mobility Performance (WMP) test is a reliable and valid measure to assess mobility performance in wheelchair basketball. The aim of this
study was to examine the sensitivity to change of the WMP test by manipulating
wheelchair configurations. METHODS: Sixteen wheelchair basketball players performed
the WMP test 3 times in their own wheelchair: (i) without adjustments (""control
condition""); (ii) with 10 kg additional mass (""weighted condition""); and (iii) with
50% reduced tyre pressure (""tyre condition""). The outcome measure was time (s). If
paired t-tests were significant (p <0.05) and differences between conditions were
larger than the standard error of measurement, the effect sizes (ES) were used to
evaluate the sensitivity to change. ES values ≥0.2 were regarded as sensitive to
change. RESULTS: The overall performance times for the manipulations were
significantly higher than the control condition, with mean differences of 4.40 s
(weight - control, ES = 0.44) and 2.81 s (tyre - control, ES = 0.27). The overall
performance time on the WMP test was judged as sensitive to change. For 8 of the 15
separate tasks on the WMP test, the tasks were judged as sensitive to change for at
least one of the manipulations. CONCLUSION: The WMP test can detect change in
mobility performance when wheelchair configurations are manipulated.
"	de Witte AMH|Sjaarda F|Helleman J|Berger MAM|van der Woude LHV|Hoozemans MJM	The Hagueb University of Applied Science	Journal of rehabilitation medicine	5/8/18 6:00
29540107	Interdependent Tripartite Efficacy Perceptions and Individual Performance: Case	"Tripartite efficacy refers to the beliefs of the individuals within a dyad regarding personal abilities (self-efficacy), the partner's abilities (other-efficacy), or
relation-inferred self-efficacy. This efficacy model has recently gained popularity
in sports research (Jackson, Whipp, & Beauchamp, 2013), although there has not been
any longitudinal research on efficacy beliefs and performance within this complex
intra-dyad tripartite efficacy model. In a case study, we examined six individual
players on a high school basketball team to explore any longitudinal changes in
these tripartite efficacy beliefs through a season of play. On seven data collection
periods, players completed the Basketball-Tripartite Efficacy Measure, and their
game performance statistics were analyzed with an objective basketball individual
performance formula. We found similar variations between participants'
other-efficacy beliefs and the dyad partner's basketball performance score as well
as between self-efficacy and individual performance score. Observational data from
this case study lend some support to spiraling of self-efficacy and performance from
repeated successes or failures and to perceived efficacy-performance plateaus that
have been previously demonstrated in controlled experimental research. Importantly,
this study suggests the presence of other-efficacy beliefs in their relationship to
other-performance and to spiraling relationships between other-efficacy beliefs and
other-performance, which have not been demonstrated previously.
"	Stonecypher JM|Blom LC|Johnson JE|Bolin JH|Hilliard RC	West Virginia University	Psychological reports	3/16/18 6:00
30126295	Determination of the exercise intensity corresponding with maximal lactate steady	"The purpose of the present study was to define the maximal lactate steady state (MLSS(meas)) in high-level male basketball players and to compare it with the
lactate turnpoint (LTP) and the respective point derived form a prediction method
(MLSS(cal)). Twelve high-level basketball players underwent one maximal and several
submaximal tests on a treadmill on different days where MLSS and LTP were measured.
MLSS(meas) was observed at 75% of the maximal treadmill speed, at 77% of VO(2max),
at 88% of HR(max) and at [La(-)] of 3.7 mmol.l(-1). No differences were observed
between MLSS(meas) and LTP in any of the measured variables. A good agreement was
observed between MLSS(meas) and LTP, as well as between MLSS(meas) and MLSS(cal).
Therefore, LTP and MLSS(cal) are offered as acceptable approaches to predict MLSS,
but not all the indices used to define MLSS presents high agreement between the
methods used.
"	Dragonea P|Zacharakis E|Kounalakis S|Kostopoulos N|Bolatoglou T|Apostolidis N	University of Athens	Research in sports medicine (Print)	8/22/18 6:00
28169152	Sleep patterns and match performance in elite Australian basketball athletes.	"OBJECTIVES: To assess sleep patterns and associations between sleep and match performance in elite Australian female basketball players. DESIGN: Prospective
cohort study. METHODS: Seventeen elite female basketball players were monitored
across two consecutive in-season competitions (30 weeks). Total sleep time and sleep
efficiency were determined using triaxial accelerometers for Baseline, Pre-match,
Match-day and Post-match timings. Match performance was determined using the
basketball efficiency statistic (EFF). The effects of match schedule (Regular versus
Double-Header; Home versus Away) and sleep on EFF were assessed. RESULTS: The
Double-Header condition changed the pattern of sleep when compared with the Regular
condition (F((3,48))=3.763, P=0.017), where total sleep time Post-match was 11% less
for Double-Header (mean±SD; 7.2±1.4h) compared with Regular (8.0±1.3h; P=0.007).
Total sleep time for Double-Header was greater Pre-match (8.2±1.7h) compared with
Baseline (7.1±1.6h; P=0.022) and Match-day (7.3±1.5h; P=0.007). Small correlations
existed between sleep metrics at Pre-match and EFF for pooled data (r=-0.39 to
-0.22; P≥0.238). Relationships between total sleep time and EFF ranged from moderate
negative to large positive correlations for individual players (r=-0.37 to 0.62) and
reached significance for one player (r=0.60; P=0.025). CONCLUSIONS: Match schedule
can affect the sleep patterns of elite female basketball players. A large degree of
inter-individual variability existed in the relationship between sleep and match
performance; nevertheless, sleep monitoring might assist in the optimisation of
performance for some athletes.
"	Staunton C|Gordon B|Custovic E|Stanger J|Kingsley M	La Trobe University	Journal of science and medicine in sport	2/9/17 6:00
30204654	Comparison of 5vs5 Training Games and Match-Play Using Microsensor Technology in	"Svilar, L, Castellano, J, and Jukic, I. Comparison of 5vs5 training games and match-play using microsensor technology in elite basketball. J Strength Cond Res
33(7): 1897-1903, 2019-The aim of this study was to compare the data obtained using
microsensor technology in 2 types of 5vs5 training games-the regular-stop game (RSG)
and the no-stop game (NSG)-and in match-play (MP) in elite basketball. Sixteen
top-level basketball players were monitored during pre- and in-season periods (10
weeks). The variables included: player load, accelerations (ACC), decelerations
(DEC), changes of direction (CoD), and jumps (JUMP)-all in both total (t) and
high-intensity (h) relative values (i.e., per minute of play): PLmin, ACCmin,
DECmin, CoDmin, and JUMPmin, respectively. Almost all variables showed trivial
difference between MP and RSG. The only variable that showed small difference was
tACCmin (MP > RSG). In case of RSG vs. NSG, 3 variables showed trivial
difference-tACCmin, hACCmin, and hDECmin, 3 (i.e., hCODmin, tDECmin, and PLmin)
small differences, and 3 (tCoDmin, tJUMPmin, and hJUMPmin) moderate differences (NSG
> RSG). In MP vs. NSG, 2 variables (hCoDmin and tACCmin) showed trivial differences;
variable hDECmin showed small difference, whereas the other 5 variables (tCoDmin,
tJUMPmin, hJUMPmin, tDECmin, and PLmin) showed moderate difference (NSG > MP). Only
one variable, hACCmin, showed moderate difference, when MP > NSG. The main
conclusion of the study was that by introducing some constraints into 5vs5 tasks,
the coaching staff could elicit higher physical demands than those occurring in MP.
By understanding the differences in demands of NSG, RSG, and MP, coaches in elite
basketball can improve their system of training drills selection, especially when
looking for optimal short-term tapering approach, leading up to the game day.
"	Svilar L|Castellano J|Jukic I	Basketball Club Saski Baskonia S.A.D.	Journal of strength and conditioning research	9/12/18 6:00
30514159	The Effects of Prosocial and Antisocial Behaviors on Emotion, Attention, and	"The purpose of this experiment was to investigate whether prosocial and antisocial teammate behaviors affect emotions (i.e., happiness, anxiety, anger), attention, and
performance. Undergraduate sport and exercise science students (N = 102) were
randomly assigned to 1 of 3 groups: prosocial behavior, antisocial behavior, and
control. They performed a basketball free-throw shooting task for 2 min in baseline
and experimental phases and completed measures of emotions and attention. Free-throw
shooting performance was also recorded. A series of analyses of covariances
controlling for baseline scores showed that the prosocial group reported more
happiness than the antisocial and control groups. The antisocial group reported more
anxiety than the prosocial group and more anger and lower attention than the other 2
groups. The prosocial and antisocial groups performed better than the control group.
These findings suggest that prosocial and antisocial teammate behaviors may
influence the recipient's emotions, attention, and performance during sport
competition.
"	Al-Yaaribi A|Kavussanu M|Ring C	2 University of Birmingham.	Journal of sport & exercise psychology	12/6/18 6:00
31935773	Basketball Activity Classification Based on Upper Body Kinematics and Dynamic Time	"Basketball activity classification can help document players' statistics, allow coaches, trainers and the medical team to quantitatively supervise players' physical
exertion and optimize training strategy, and further help prevent potential
injuries. Traditionally, sports activity classification was done by manual
notational, or through multi-camera systems or motion sensing technology. These
methods were often erroneous and limited by space. This study presents a basketball
activity classification model based on Dynamic Time Warping (DTW) and body kinematic
measures. Twenty participants, including 10 experienced players and 10 novice
players, were involved in an experimental study. The experienced and novice players
differed in their years of playing basketball. Four basketball movements, including
shooting, passing, dribbling, and lay-up were classified by kinematic measures. The
results indicate that the proposed model can successfully classify different
basketball movements with high accuracy and efficiency. Specifically, with the
resultant acceleration of the hand, this model can achieve classification precision,
recall, and specificity up to 0.984, 0.983 and 0.994, respectively. Findings from
this study supported the feasibility of using DTW in real-time sports activity
classification and provided insights into the optimal sensor placement for
basketball activity classification applications.
"	Hu X|Mo S|Qu X	Shenzhen University	International journal of sports medicine	1/15/20 6:00
18426181	Injuries in women's basketball.	"Women's basketball has changed over time. It is a faster paced game than it was 30 years ago. Greatplayers, like Anne Meyers,who was the first, and only, woman to be
signed to an NBA contract, would agree today's game is different. The game is played
mostly ""below the rim"" but with players like Candice Parker, Sylvia Fowles and Maya
Moore able to dunk the ball, the game is still changing. The one thing that remains
constant in basketball, especially women's basketball, is injury. The majority of
injuries in women's basketball are similar to those in men's basketball. Studies at
the high school and college level show similar injury rates between women and men.
ACL injuries are one exception, with female athletes having atwo to four times
higher rate ofACL injuries. In this article, we review the common injuries in
women's basketball. We discuss treatment issues and possible preventive measures.
"	Trojian TH|Ragle RB	University of Connecticut Women's Basketball	Connecticut medicine	4/23/08 9:00
27197090	Cumulative Training Dose's Effects on Interrelationships Between Common	"PURPOSE: The influence of various factors on training-load (TL) responses in basketball has received limited attention. This study aimed to examine the temporal
changes and influence of cumulative training dose on TL responses and
interrelationships during basketball activity. METHODS: Ten state-level Australian
male junior basketball players completed 4 × 10-min standardized bouts of simulated
basketball activity using a circuit-based protocol. Internal TL was quantified using
the session rating of perceived exertion (sRPE), summated heart-rate zones (SHRZ),
Banister training impulse (TRIMP), and Lucia TRIMP models. External TL was assessed
via measurement of mean sprint and circuit speeds. Temporal TL comparisons were
performed between 10-min bouts, while Pearson correlation analyses were conducted
across cumulative training doses (0-10, 0-20, 0-30, and 0-40 min). RESULTS: sRPE TL
increased (P < .05) after the first 10-min bout of basketball activity. sRPE TL was
only significantly related to Lucia TRIMP (r = .66-.69; P < .05) across 0-10 and
0-20 min. Similarly, mean sprint and circuit speed were significantly correlated
across 0-20 min (r = .67; P < .05). In contrast, SHRZ and Banister TRIMP were
significantly related across all training doses (r = .84-.89; P < .05). CONCLUSIONS:
Limited convergence exists between common TL approaches across basketball training
doses lasting beyond 20 min. Thus, the interchangeability of commonly used internal
and external TL approaches appears dose-dependent during basketball activity, with
various psychophysiological mediators likely underpinning temporal changes.
"	Scanlan AT|Fox JL|Borges NR|Dascombe BJ|Dalbo VJ	University of Connecticut Women's Basketball	International journal of sports physiology and performance	5/20/16 6:00
29932750	In-Shoe Plantar Pressure Profiles in Amateur Basketball Players (Implications for	"BACKGROUND: Biomechanical analysis of foot loading characteristics may provide insights into the injury mechanisms and guide orthotic prescription for basketball
players. This study aimed to quantify in-shoe plantar pressure profiles in amateur
players when executing typical basketball movements. METHODS: Twenty male university
basketball players performed four basketball-specific movement tasks-running,
maximal forward sprinting, maximal 45° cutting, and layup-in a pair of standardized
basketball shoes fitted with an in-shoe plantar pressure measurement system. Peak
pressure (PP) and pressure-time integral (PTI) data were extracted from ten plantar
regions. One-way repeated-measures analysis of variance was performed across the
tasks, with significance set at P < .05. RESULTS: Distinct plantar pressure
distribution patterns were observed among the four movements. Compared with running,
significantly higher ( P < .05) PP and PTI of up to approximately 55% were found in
sprinting and layup, particularly at the forefoot region. Similarly, significantly
higher ( P < .05) PPs and PTIs, ranging from approximately 23% to 90%, were observed
in 45° cutting compared with running at most foot regions. CONCLUSIONS: Compared
with running, sprinting and layup demonstrated higher plantar loading in the
forefoot region, and 45° cutting yielded increased plantar loading in most regions
of the foot. Understanding the plantar pressure characteristics of different
movements may be useful in optimizing footwear designs, orthosis use, or training
strategies to minimize regional plantar loading during amateur basketball play.
"	Kong PW|Lam WK|Ng WX|Aziz L|Leong HF	University of Connecticut Women's Basketball	Journal of the American Podiatric Medical Association	6/23/18 6:00
25310027	Hand preference patterns in expert basketball players: interrelations between	"In the present study we examined the interrelation of everyday life handedness and hand preference in basketball, as an area of expertise that requires individuals
being proficient with both their non-dominant and dominant hand. A secondary aim was
to elucidate the link between basketball-specific practice, hand preference in
basketball and everyday life handedness. Therefore, 176 expert basketball players
self-reported their hand preference for activities of daily living and for
basketball-specific behavior as well as details about their basketball-specific
history via questionnaire. We found that compared to the general population the
one-hand bias was significantly reduced for both everyday life and
basketball-specific hand preference (i.e., a higher prevalence of mixed-handed
individuals), and that both concepts were significantly related. Moreover, only
preference scores for lay-up and dribbling skills were significantly related to
measures of basketball-specific practice. Consequently, training-induced modulations
of lateral preference seem to be very specific to only a few basketball-specific
skills, and do not generalize to other skills within the domain of basketball nor do
they extend into everyday life handedness. The results are discussed in terms of
their relevance regarding theories of handedness and their practical implications
for the sport of basketball.
"	Stöckel T|Vater C	University of Bern	Human movement science	10/14/14 6:00
26670989	Effects of In-Season Inertial Resistance Training With Eccentric Overload in a	"Gual, G, Fort-Vanmeerhaeghe, A, Romero-Rodríguez, D, and Tesch, PA. Effects of in-season inertial resistance training with eccentric overload in a sports
population at risk for patellar tendinopathy. J Strength Cond Res 30(7): 1834-1842,
2016-Volleyball and basketball players can be considered as a population at risk for
patellar tendinopathy. Given the paradox that eccentric training elicits therapeutic
benefits yet might provoke such injury, we investigated the influence of a weekly
bout of inertial squat resistance exercise offering eccentric overload on lower limb
muscle power and patellar tendon complaints. Players of 8 (4 basketball and 4
volleyball) teams (38 women and 43 men) were randomly assigned to either the
intervention (IG) or control (CG) group. Although IG and CG maintained scheduled
in-season training routines over 24 weeks, IG, in addition, performed 1 weekly
session of eccentric overload by 4 sets of 8 repetitions of the squat using flywheel
inertial resistance. Victorian Institute of Sports Assessment patellar tendinopathy
questionnaire (VISA-p), vertical countermovement jump, and squat power, both
concentric (Squat-Con) and eccentric (Squat-Ecc), tests were performed before (T1),
during (T2), and after (T3) the 24 weeks of intervention. Neither group suffered
from patellar tendinopathy during the study period. VISA-p displayed no differences
across groups at any measurement period. Countermovement jump scores significantly
(p ≤ 0.05) differed between groups in favor of the IG. Both Squat-Con and Squat-Ecc
mean scores from the IG were significantly (p < 0.01) higher than the CG. Adding a
weekly eccentric overload squat training bout to a regular basketball and volleyball
exercise routine enhances lower limb muscle power without triggering patellar tendon
complaints. Future studies, using the current exercise paradigm, aim to explore its
efficacy to prevent or combat patellar tendinopathy in sports calling for frequent
explosive jumps.
"	Gual G|Fort-Vanmeerhaeghe A|Romero-Rodríguez D|Tesch PA	Universitat Internacional de Catalunya|University of the Balearic Isls|University of Girona|Ramon Llull University|5ReSport Clinic|Karolinska Institutet	Journal of strength and conditioning research	12/17/15 6:00
31046653	Reliability of Teams' Game-Related Statistics in Basketball: Number of Games	"In basketball, game-related statistics are the most common measure of performance. However, the literature assessing their reliability is scarce. Purpose: Analyze the
number of games required to obtain a good relative and absolute reliability of
teams' game-related statistics. Method: A total of 884 games from the 2015-2016 to
2017-2018 seasons of the Spanish men's professional league were analyzed using all
games and clustered by scoring difference. Intra-class correlation coefficient (ICC)
was calculated for each variable. The number of games required to detect a change
and to achieve good relative reliability was calculated using minimal detectable
change and Spearman-Brown prophecy formula respectively. Results: Using all games,
the results showed that the minimal number of games required in each group was 30 to
detect a medium change (d > .5), 187 for a small change (d > .2), and 100 for good
relative reliability (ICC ≥ .75). Using balanced and unbalanced games, the minimal
number of games required in each group was respectively 31 and 30 to detect a medium
change (d > .5), 190 and 188 for a small change (d > .2), and 191 and 121 for good
relative reliability (ICC ≥ .75). Conclusions: The sample needs to consist of at
least 30 games in each group to detect a medium size change, and at least 190 games
to detect a small size change. To be able to rank teams with good reliability, at
least 100 games are required when including both balanced and unbalanced games.
"	Pérez-Ferreirós A|Kalén A|Gómez MÁ|Rey E	a University of Vigo.	Research quarterly for exercise and sport	5/3/19 6:00
24875429	Visual tracking speed is related to basketball-specific measures of performance in	"The purpose of this study was to determine the relationship between visual tracking speed (VTS) and reaction time (RT) on basketball-specific measures of performance.
Twelve professional basketball players were tested before the 2012-13 season. Visual
tracking speed was obtained from 1 core session (20 trials) of the multiple object
tracking test, whereas RT was measured by fixed- and variable-region choice reaction
tests, using a light-based testing device. Performance in VTS and RT was compared
with basketball-specific measures of performance (assists [AST]; turnovers [TO];
assist-to-turnover ratio [AST/TO]; steals [STL]) during the regular basketball
season. All performance measures were reported per 100 minutes played. Performance
differences between backcourt (guards; n = 5) and frontcourt (forward/centers; n =
7) positions were also examined. Relationships were most likely present between VTS
and AST (r = 0.78; p < 0.003), STL (r = 0.77; p < 0.003), and AST/TO (r = 0.78; p <
0.003), whereas a likely relationship was also observed with TO (r = 0.49; p <
0.109). Reaction time was not related to any of the basketball-specific performance
measures. Backcourt players were most likely to outperform frontcourt players in AST
and very likely to do so for VTS, TO, and AST/TO. In conclusion, VTS seems to be
related to a basketball player's ability to see and respond to various stimuli on
the basketball court that results in more positive plays as reflected by greater
number of AST and STL and lower turnovers.
"	Mangine GT|Hoffman JR|Wells AJ|Gonzalez AM|Rogowski JP|Townsend JR|Jajtner AR|Beyer KS|Bohner JD|Pruna GJ|Fragala MS|Stout JR	University of Central Florida| 2Strength  Conditioning	Journal of strength and conditioning research	5/31/14 6:00
27241763	Basketball lay-up - foot loading characteristics and the number of trials necessary	"This study aimed (1) to profile the plantar loading characteristics when performing the basketball lay-up in a realistic setting and (2) to determine the number of
trials necessary to establish a stable mean for plantar loading variables during the
lay-up. Thirteen university male basketball players [age: 23.0 (1.4) years, height:
1.75 (0.05) m, mass: 68.4 (8.6) kg] performed ten successful basketball lay-ups from
a stationary position. Plantar loading variables were recorded using the Novel
Pedar-X in-shoe system. Loading variables including peak force, peak pressure, and
pressure-time integral were extracted from eight foot regions. Performance stability
of plantar loading variables during the take-off and landing steps were assessed
using the sequential averaging technique and intra-class correlation coefficient
(ICC). High plantar loadings were experienced at the heel during the take-off steps,
and both the heel and forefoot regions upon landing. The sequential estimation
technique revealed a five-eight trial range to achieve a stable mean across all
plantar loading variables, whereas ICC analysis was insensitive to inter-trial
differences of repeated lay-up performances. Future studies and performance
evaluation protocols on plantar loading during basketball lay-ups should include at
least eight trials to ensure that the measurements obtained are sufficiently stable.
"	Chua YK|Quek RK|Kong PW	Nanyang Technological University	Sports biomechanics	6/1/16 6:00
31479399	External Activity Demands Differ Between Referees and Players During a Sub-Elite,	"Match activity demands of basketball players have been well reported but little exists in terms of quantifying the demands encountered by referees during
match-play. Potential differences between referees and players may identify
different fitness capacities and subsequent need for different training regimes.
Purpose: The aims of this brief report were to: 1) document the activity demands of
sub-elite basketball referees during a match; and 2) compare referee and player
match activity demands. Method: Three referees and six players participating in the
same sub-elite, basketball match were monitored for external activity (PlayerLoad™,
PL) via microsensor technology. The proportion of each quarter and entire match time
spent in pre-set PL bands was also examined to develop PL profiles. Differences in
activity demands between referees and players were calculated using effect size (ES)
analyses (± 95% confidence intervals). Results: Referees experienced an absolute PL
of 310 ± 28 arbitrary units (4.2 ± 0.4 AU.min(-1)) during the match which was ~40%
lower than that of the players (ES = 1.14; -0.45, 2.48). Referees exhibited a match
PL profile dominated by the lowest PL band (~91%) with the players' PL profile
shifted slightly towards higher bands. Conclusion: Sub-elite basketball referees
experienced activity demands substantially lower than that of players during the
same match. Limited movement patterns due to recommended court positioning may have
contributed to the lower PL of referees. Differences in PL between referees and
players highlight a need to develop specific training regimes to focus on key
fitness capacities for each match role.
"	Leicht AS|Fox J|Connor J|Sargent C|Sinclair W|Stanton R|Scanlan A	Central Queensl University.	Research quarterly for exercise and sport	9/4/19 6:00
26439783	Basketball Performance Is Related to Maturity and Relative Age in Elite Adolescent	"During a national championship, the anthropometric, physiological, and maturation characteristics of 13- to 14-year-old players of elite basketball teams and their
association with sport performance were analyzed. Body parameters (weight, height,
skinfold thicknesses, and lengths) were measured and physiological capacities
assessed by sprint (20 m) and jump tests (i.e., countermovement jump with arm
swing). Chronological age (CA) and maturity offset (years from age at peak height
velocity; YAPHV) were calculated, and then predicted age at peak height velocity, as
the difference between CA and YAPHV. Game performance was assessed with point
averages and the performance index rating (PIR). The birth-date distribution of
players was biased, those born early in the selection year outnumbering those born
later. Anthropometric analysis indicated that players who performed better had
longer body lengths. Physiological testing showed that semi-finalists had better
sprint performance than quarter-finalists and those players with greater jump
capacity scored more points. Early maturation and advanced maturity status were also
associated with better PIR and scored points per game. Multiple blockwise regression
analysis showed that, among the factors analyzed, YAPHV was the best predictor of
basketball performance. In conclusion, around puberty, physical and physiological
parameters associated with maturity and CA are important in determining the success
of elite basketball players. Consequently, boys who are born in the second half of
the year and/or late maturing tend to be marginalized or totally excluded, and not
given the chance to play under equal conditions; their careers may then be held back
by the relative disadvantage associated with inexperience.
"	Torres-Unda J|Zarrazquin I|Gravina L|Zubero J|Seco J|Gil SM|Gil J|Irazusta J	University of the Basque Country|Departments of 2Nursing I|University|University of León|University of Basque Country	Journal of strength and conditioning research	10/7/15 6:00
31541720	'A level playing field': Young people's experiences of wheelchair basketball as an	"Using a novel case-study of a youth wheelchair basketball team in Auckland, New Zealand, we investigate the experiences of young people with physical disabilities
in recreational sports places. We consider the 'enabling places' created by this
sport, which can enhance disabled young people's wellbeing and social inclusion.
Semi-structured interviews with the team's players and coordinators revealed
logistical and societal challenges associated with facilitating youth-oriented
sports, as well as those encountered by team members personally. They also
identified physical health and social benefits experienced through involvement in
wheelchair basketball. The material, social and affective dimensions of
participants' experiences of wheelchair basketball elucidate the capacity for the
sport, and its team members and settings, to affirm young people's identity and
place-in-the-world. We conclude that youth-specific, inclusive sports generate
enabling places that enhance young people's social inclusion, wellbeing and life
enjoyment.
"	Bates L|Kearns R|Witten K|Carroll P	Massey University	Health & place	9/22/19 6:00
27859723	How stressors are dynamically appraised within a team during a game: An exploratory	"Little is known about how team sport athletes individually and collectively experience sources of stress during competitive sport encounters. This study aimed
to examine the nature of the stressors team sport athletes appraised during games at
individual and team levels, as well as their degree of synchronization during an
unfolding game. Through individual self-confrontation interviews, the activities of
nine basketball players of the same team were examined in detail. The results
revealed that 12 categories of stressors were reported, and categorized into two
larger units reflecting stressors perceived as affecting (a) ""the team functioning
as a whole"" and (b) ""a player's own functioning"". Thus, the nature and degree of
similarity of the game-specific stressors experienced by basketball players within a
single team were identified during a game. In addition, the findings showed six
different patterns of synchronizations of team members' stressors, as well as their
changes over the course of the game. They provided support for the synchronized
appraisal and experience of stressors within a team during a game. By adopting an
interpersonal perspective and examining the temporal interplay in team members'
activities, this study shed light on stress within teams.
"	Doron J|Bourbousson J	University of Nantes	Scandinavian journal of medicine & science in sports	11/20/16 6:00
